,Commodity,Date,Weighted Avg Price,Spring,Summer,Fall,Winter,Commodity Type
2005,APPLES GRANNY SMITH,1/18/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2004,APPLES GALA,1/18/2019,0.91,Yes,Yes,Yes,Yes,Fruit
1482,GRAPEFRUIT RED,1/18/2019,0.77,No,No,No,Yes,Fruit
1237,GRAPES RED GLOBE,1/18/2019,2.98,No,No,Yes,No,Fruit
653,"TOMATOES VINE RIPES, ON THE VINE",1/18/2019,2.57,No,Yes,No,No,Fruit
77,EGGPLANT  ,1/18/2019,0.57,No,Yes,No,No,Vegetable
652,TOMATOES VINE RIPES,1/18/2019,0.98,No,Yes,No,No,Fruit
651,"TOMATOES VINE RIPES, ON THE VINE",1/18/2019,1.45,No,Yes,No,No,Fruit
2002,APPLES FUJI,1/18/2019,1.34,Yes,Yes,Yes,Yes,Fruit
2003,APPLES FUJI,1/18/2019,2.6,Yes,Yes,Yes,Yes,Fruit
1701,PINEAPPLES  ,1/18/2019,0.45,Yes,No,Yes,Yes,Fruit
2001,APPLES BRAEBURN,1/18/2019,1.07,Yes,Yes,Yes,Yes,Fruit
654,TOMATOES  ,1/18/2019,2.45,No,Yes,No,No,Fruit
1778,PEARS BOSC,1/25/2019,1.07,No,No,Yes,Yes,Fruit
1128,LIMES  ,1/25/2019,0.64,Yes,Yes,Yes,Yes,Fruit
2012,APPLES GRANNY SMITH,1/25/2019,0.79,Yes,Yes,Yes,Yes,Fruit
1533,PEACHES VARIOUS YELLOW FLESH VARIETIES,1/25/2019,3.09,No,Yes,No,No,Fruit
2013,APPLES GOLDEN DELICIOUS,1/25/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2014,APPLES GALA,1/25/2019,2.09,Yes,Yes,Yes,Yes,Fruit
2015,APPLES GALA,1/25/2019,1.38,Yes,Yes,Yes,Yes,Fruit
1779,PEARS BARTLETT,1/25/2019,1.5,No,No,Yes,Yes,Fruit
146,BROCCOLI  ,1/25/2019,1.69,Yes,No,Yes,No,Vegetable
1777,PEARS BOSC,1/25/2019,1.53,No,No,Yes,Yes,Fruit
148,BROCCOLI CROWN CUT,1/25/2019,1.99,Yes,No,Yes,No,Vegetable
1776,PEARS D'ANJOU,1/25/2019,1.53,No,No,Yes,Yes,Fruit
2020,APPLES RED DELICIOUS,1/25/2019,1.51,Yes,Yes,Yes,Yes,Fruit
2016,APPLES FUJI,1/25/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2010,APPLES HONEYCRISP,1/25/2019,2.49,Yes,Yes,Yes,Yes,Fruit
2019,APPLES RED DELICIOUS,1/25/2019,0.74,Yes,Yes,Yes,Yes,Fruit
2009,APPLES JONAGOLD,1/25/2019,0.33,Yes,Yes,Yes,Yes,Fruit
2008,APPLES JONAGOLD,1/25/2019,1.79,Yes,Yes,Yes,Yes,Fruit
2007,APPLES PINK LADY/CRIPPS PINK,1/25/2019,0.94,Yes,Yes,Yes,Yes,Fruit
2006,APPLES PINK LADY/CRIPPS PINK,1/25/2019,2.99,Yes,Yes,Yes,Yes,Fruit
2017,APPLES FUJI,1/25/2019,1.19,Yes,Yes,Yes,Yes,Fruit
1182,LEMONS  ,1/25/2019,0.83,Yes,Yes,Yes,Yes,Fruit
1775,PEARS D'ANJOU,1/25/2019,1.24,No,No,Yes,Yes,Fruit
147,BROCCOLI CROWN CUT,1/25/2019,1.61,Yes,No,Yes,No,Vegetable
2018,APPLES BRAEBURN,1/25/2019,0.33,Yes,Yes,Yes,Yes,Fruit
2011,APPLES HONEYCRISP,1/25/2019,2.51,Yes,Yes,Yes,Yes,Fruit
1239,GRAPES RED SEEDLESS,1/25/2019,2.8,No,No,Yes,No,Fruit
1483,GRAPEFRUIT RED,1/25/2019,0.99,No,No,No,Yes,Fruit
2672,MUSHROOMS PORTOBELLA,1/25/2019,5.99,Yes,No,Yes,No,Vegetable
1780,PEARS BARTLETT,1/25/2019,1.26,No,No,Yes,Yes,Fruit
2519,CHERRIES RED VARIETIES,1/25/2019,4.15,No,Yes,No,No,Fruit
1001,ORANGES NAVEL,1/25/2019,0.89,No,No,No,Yes,Fruit
105,BEETS  ,1/25/2019,0.48,No,Yes,Yes,Yes,Vegetable
288,BRUSSELS SPROUTS  ,1/25/2019,1.27,No,No,Yes,Yes,Vegetable
78,EGGPLANT  ,1/25/2019,0.5,No,Yes,No,No,Vegetable
655,TOMATOES  ,1/25/2019,0.98,No,Yes,No,No,Fruit
929,ASPARAGUS GREEN,1/25/2019,2.44,Yes,No,No,No,Vegetable
1238,GRAPES WHITE SEEDLESS TYPE,1/25/2019,2.94,No,No,Yes,No,Fruit
1702,PINEAPPLES  ,1/25/2019,0.54,Yes,No,Yes,Yes,Fruit
333,CARROTS  ,1/25/2019,0.36,Yes,Yes,Yes,Yes,Vegetable
656,TOMATOES VINE RIPES,1/25/2019,1.99,No,Yes,No,No,Fruit
657,"TOMATOES VINE RIPES, ON THE VINE",1/25/2019,2.49,No,Yes,No,No,Fruit
1629,PLUMS  ,1/25/2019,2.99,No,Yes,No,No,Fruit
658,"TOMATOES VINE RIPES, ON THE VINE",1/25/2019,2.99,No,Yes,No,No,Fruit
1002,ORANGES NAVEL,1/25/2019,1.53,No,No,No,Yes,Fruit
1484,GRAPEFRUIT RED,1/25/2019,1.17,No,No,No,Yes,Fruit
1240,GRAPES BLACK SEEDLESS,1/25/2019,1.99,No,No,Yes,No,Fruit
1241,GRAPES RED GLOBE,1/25/2019,1.98,No,No,Yes,No,Fruit
466,CABBAGE ROUND GREEN TYPE,1/25/2019,0.79,Yes,No,Yes,Yes,Vegetable
389,CAULIFLOWER  ,1/25/2019,1.0,No,No,Yes,No,Vegetable
1003,ORANGES VALENCIA,1/25/2019,0.86,No,No,No,Yes,Fruit
388,CAULIFLOWER  ,1/25/2019,1.49,No,No,Yes,No,Vegetable
596,TOMATILLOS  ,1/25/2019,0.75,No,Yes,No,No,Fruit
2566,BANANAS  ,1/25/2019,0.39,Yes,Yes,Yes,Yes,Fruit
2565,BANANAS  ,1/25/2019,0.73,Yes,Yes,Yes,Yes,Fruit
538,SWEET POTATOES  ,1/25/2019,0.86,No,No,Yes,Yes,Vegetable
659,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,1/25/2019,3.99,No,Yes,No,No,Fruit
2,CUCUMBERS  ,1/4/2019,1.09,No,Yes,No,No,Vegetable
539,SWEET POTATOES  ,1/4/2019,0.77,No,No,Yes,Yes,Vegetable
390,CAULIFLOWER  ,1/4/2019,1.5,No,No,Yes,No,Vegetable
391,CAULIFLOWER  ,1/4/2019,1.28,No,No,Yes,No,Vegetable
467,CABBAGE ROUND GREEN TYPE,1/4/2019,0.44,Yes,No,Yes,Yes,Vegetable
597,TOMATILLOS  ,1/4/2019,0.97,No,Yes,No,No,Fruit
1703,PINEAPPLES  ,1/4/2019,0.76,Yes,No,Yes,Yes,Fruit
661,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,1/4/2019,3.99,No,Yes,No,No,Fruit
1783,PEARS BOSC,1/4/2019,1.45,No,No,Yes,Yes,Fruit
2031,APPLES GALA,1/4/2019,2.49,Yes,Yes,Yes,Yes,Fruit
2030,APPLES PINK LADY/CRIPPS PINK,1/4/2019,1.03,Yes,Yes,Yes,Yes,Fruit
2029,APPLES JONAGOLD,1/4/2019,0.82,Yes,Yes,Yes,Yes,Fruit
2028,APPLES HONEYCRISP,1/4/2019,2.56,Yes,Yes,Yes,Yes,Fruit
2027,APPLES HONEYCRISP,1/4/2019,1.61,Yes,Yes,Yes,Yes,Fruit
2026,APPLES GRANNY SMITH,1/4/2019,0.69,Yes,Yes,Yes,Yes,Fruit
2025,APPLES RED DELICIOUS,1/4/2019,0.62,Yes,Yes,Yes,Yes,Fruit
2568,BANANAS  ,1/4/2019,0.69,Yes,Yes,Yes,Yes,Fruit
2567,BANANAS  ,1/4/2019,0.41,Yes,Yes,Yes,Yes,Fruit
1005,ORANGES NAVEL,1/4/2019,1.25,No,No,No,Yes,Fruit
1004,ORANGES NAVEL,1/4/2019,0.84,No,No,No,Yes,Fruit
2024,APPLES GALA,1/4/2019,1.19,Yes,Yes,Yes,Yes,Fruit
2023,APPLES FUJI,1/4/2019,2.05,Yes,Yes,Yes,Yes,Fruit
2022,APPLES FUJI,1/4/2019,0.95,Yes,Yes,Yes,Yes,Fruit
2520,CHERRIES RED VARIETIES,1/4/2019,4.71,No,Yes,No,No,Fruit
289,BRUSSELS SPROUTS  ,1/4/2019,1.78,No,No,Yes,Yes,Vegetable
930,ASPARAGUS GREEN,1/4/2019,1.99,Yes,No,No,No,Vegetable
334,CARROTS  ,1/4/2019,0.3,Yes,Yes,Yes,Yes,Vegetable
663,"TOMATOES VINE RIPES, ON THE VINE",1/4/2019,2.47,No,Yes,No,No,Fruit
662,TOMATOES VINE RIPES,1/4/2019,1.99,No,Yes,No,No,Fruit
660,TOMATOES  ,1/4/2019,0.94,No,Yes,No,No,Fruit
1784,PEARS BOSC,1/4/2019,1.03,No,No,Yes,Yes,Fruit
2021,APPLES BRAEBURN,1/4/2019,1.0,Yes,Yes,Yes,Yes,Fruit
149,BROCCOLI  ,1/4/2019,1.5,Yes,No,Yes,No,Vegetable
2688,CELERY  ,1/4/2019,1.29,Yes,Yes,Yes,Yes,Vegetable
1781,PEARS D'ANJOU,1/4/2019,1.61,No,No,Yes,Yes,Fruit
150,BROCCOLI CROWN CUT,1/4/2019,2.47,Yes,No,Yes,No,Vegetable
1485,GRAPEFRUIT RED,1/4/2019,0.96,No,No,No,Yes,Fruit
1782,PEARS D'ANJOU,1/4/2019,1.09,No,No,Yes,Yes,Fruit
106,BEETS  ,1/4/2019,0.65,No,Yes,Yes,Yes,Vegetable
107,BEETS  ,1/4/2019,2.0,No,Yes,Yes,Yes,Vegetable
1184,LEMONS  ,1/4/2019,0.99,Yes,Yes,Yes,Yes,Fruit
1183,LEMONS  ,1/4/2019,0.5,Yes,Yes,Yes,Yes,Fruit
1243,GRAPES WHITE SEEDLESS TYPE,1/4/2019,1.96,No,No,Yes,No,Fruit
1129,LIMES  ,1/4/2019,0.52,Yes,Yes,Yes,Yes,Fruit
1785,PEARS BARTLETT,1/4/2019,1.11,No,No,Yes,Yes,Fruit
1242,GRAPES RED SEEDLESS,1/4/2019,1.84,No,No,Yes,No,Fruit
1534,PEACHES VARIOUS YELLOW FLESH VARIETIES,1/4/2019,0.99,No,Yes,No,No,Fruit
2569,BANANAS  ,10/11/2019,0.77,Yes,Yes,Yes,Yes,Fruit
2570,BANANAS  ,10/11/2019,0.37,Yes,Yes,Yes,Yes,Fruit
1130,LIMES  ,10/11/2019,0.55,Yes,Yes,Yes,Yes,Fruit
598,TOMATILLOS  ,10/11/2019,0.6,No,Yes,No,No,Fruit
1244,GRAPES WHITE SEEDLESS TYPE,10/11/2019,2.12,No,No,Yes,No,Fruit
1486,GRAPEFRUIT RED,10/11/2019,1.0,No,No,No,Yes,Fruit
290,BRUSSELS SPROUTS  ,10/11/2019,2.06,No,No,Yes,Yes,Vegetable
1630,PLUMS  ,10/11/2019,0.93,No,Yes,No,No,Fruit
1245,GRAPES WHITE SEEDLESS TYPE,10/11/2019,1.53,No,No,Yes,No,Fruit
664,"TOMATOES VINE RIPES, ON THE VINE",10/11/2019,1.48,No,Yes,No,No,Fruit
1247,GRAPES RED SEEDLESS,10/11/2019,1.5,No,No,Yes,No,Fruit
931,ASPARAGUS GREEN,10/11/2019,2.21,Yes,No,No,No,Vegetable
2721,SWISS CHARD  ,10/11/2019,1.99,Yes,No,Yes,Yes,Vegetable
108,BEETS  ,10/11/2019,0.5,No,Yes,Yes,Yes,Vegetable
668,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,10/11/2019,3.14,No,Yes,No,No,Fruit
335,CARROTS  ,10/11/2019,0.37,Yes,Yes,Yes,Yes,Vegetable
667,TOMATOES  ,10/11/2019,0.55,No,Yes,No,No,Fruit
1246,GRAPES RED SEEDLESS,10/11/2019,2.12,No,No,Yes,No,Fruit
666,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,10/11/2019,3.88,No,Yes,No,No,Fruit
1006,ORANGES VALENCIA,10/11/2019,0.5,No,No,No,Yes,Fruit
1007,ORANGES NAVEL,10/11/2019,1.01,No,No,No,Yes,Fruit
665,"TOMATOES VINE RIPES, ON THE VINE",10/11/2019,1.94,No,Yes,No,No,Fruit
541,SWEET POTATOES  ,10/11/2019,1.53,No,No,Yes,Yes,Vegetable
1249,GRAPES BLACK SEEDLESS,10/11/2019,1.75,No,No,Yes,No,Fruit
1248,GRAPES RED GLOBE,10/11/2019,1.43,No,No,Yes,No,Fruit
1250,GRAPES BLACK SEEDLESS,10/11/2019,1.81,No,No,Yes,No,Fruit
540,SWEET POTATOES  ,10/11/2019,0.76,No,No,Yes,Yes,Vegetable
1704,PINEAPPLES  ,10/11/2019,0.52,Yes,No,Yes,Yes,Fruit
2040,APPLES HONEYCRISP,10/11/2019,2.07,Yes,Yes,Yes,Yes,Fruit
468,CABBAGE ROUND GREEN TYPE,10/11/2019,0.37,Yes,No,Yes,Yes,Vegetable
2034,APPLES GALA,10/11/2019,1.3,Yes,Yes,Yes,Yes,Fruit
2035,APPLES GOLDEN DELICIOUS,10/11/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2036,APPLES RED DELICIOUS,10/11/2019,1.07,Yes,Yes,Yes,Yes,Fruit
2037,APPLES GALA,10/11/2019,1.78,Yes,Yes,Yes,Yes,Fruit
2038,APPLES JONAGOLD,10/11/2019,1.44,Yes,Yes,Yes,Yes,Fruit
2039,APPLES HONEYCRISP,10/11/2019,2.11,Yes,Yes,Yes,Yes,Fruit
151,BROCCOLI CROWN CUT,10/11/2019,1.5,Yes,No,Yes,No,Vegetable
2041,APPLES GRANNY SMITH,10/11/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2042,APPLES GRANNY SMITH,10/11/2019,1.53,Yes,Yes,Yes,Yes,Fruit
2043,APPLES PINK LADY/CRIPPS PINK,10/11/2019,0.73,Yes,Yes,Yes,Yes,Fruit
1535,PEACHES VARIOUS YELLOW FLESH VARIETIES,10/11/2019,1.13,No,Yes,No,No,Fruit
2710,COLLARD GREENS  ,10/11/2019,1.99,Yes,No,Yes,Yes,Vegetable
1789,PEARS BOSC,10/11/2019,0.88,No,No,Yes,Yes,Fruit
1790,PEARS BARTLETT,10/11/2019,1.77,No,No,Yes,Yes,Fruit
1791,PEARS BARTLETT,10/11/2019,1.19,No,No,Yes,Yes,Fruit
1788,PEARS BOSC,10/11/2019,1.69,No,No,Yes,Yes,Fruit
1787,PEARS D'ANJOU,10/11/2019,1.29,No,No,Yes,Yes,Fruit
1185,LEMONS  ,10/11/2019,0.88,Yes,Yes,Yes,Yes,Fruit
2713,GARLIC  ,10/11/2019,2.99,Yes,Yes,Yes,No,Vegetable
392,CAULIFLOWER  ,10/11/2019,1.08,No,No,Yes,No,Vegetable
1786,PEARS D'ANJOU,10/11/2019,1.74,No,No,Yes,Yes,Fruit
469,CABBAGE ROUND GREEN TYPE,10/11/2019,0.99,Yes,No,Yes,Yes,Vegetable
2033,APPLES FUJI,10/11/2019,1.24,Yes,Yes,Yes,Yes,Fruit
2032,APPLES FUJI,10/11/2019,1.39,Yes,Yes,Yes,Yes,Fruit
1794,PEARS D'ANJOU,10/18/2019,1.36,No,No,Yes,Yes,Fruit
671,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,10/18/2019,3.99,No,Yes,No,No,Fruit
672,"TOMATOES VINE RIPES, ON THE VINE",10/18/2019,1.7,No,Yes,No,No,Fruit
932,ASPARAGUS GREEN,10/18/2019,2.41,Yes,No,No,No,Vegetable
291,BRUSSELS SPROUTS  ,10/18/2019,1.92,No,No,Yes,Yes,Vegetable
670,TOMATOES  ,10/18/2019,1.57,No,Yes,No,No,Fruit
669,TOMATOES VINE RIPES,10/18/2019,0.67,No,Yes,No,No,Fruit
1797,PEARS BOSC,10/18/2019,0.94,No,No,Yes,Yes,Fruit
394,CAULIFLOWER  ,10/18/2019,2.29,No,No,Yes,No,Vegetable
336,CARROTS  ,10/18/2019,0.5,Yes,Yes,Yes,Yes,Vegetable
393,CAULIFLOWER  ,10/18/2019,0.99,No,No,Yes,No,Vegetable
1795,PEARS D'ANJOU,10/18/2019,1.91,No,No,Yes,Yes,Fruit
1796,PEARS BARTLETT,10/18/2019,1.51,No,No,Yes,Yes,Fruit
599,TOMATILLOS  ,10/18/2019,0.53,No,Yes,No,No,Fruit
1792,PEARS BARTLETT,10/18/2019,1.26,No,No,Yes,Yes,Fruit
1793,PEARS BOSC,10/18/2019,1.91,No,No,Yes,Yes,Fruit
471,CABBAGE ROUND GREEN TYPE,10/18/2019,0.46,Yes,No,Yes,Yes,Vegetable
1631,PLUMS  ,10/18/2019,0.98,No,Yes,No,No,Fruit
472,CABBAGE ROUND GREEN TYPE,10/18/2019,1.49,Yes,No,Yes,Yes,Vegetable
542,SWEET POTATOES  ,10/18/2019,1.0,No,No,Yes,Yes,Vegetable
470,CABBAGE RED TYPE,10/18/2019,0.5,Yes,No,Yes,Yes,Vegetable
543,SWEET POTATOES  ,10/18/2019,1.68,No,No,Yes,Yes,Vegetable
2045,APPLES GRANNY SMITH,10/18/2019,2.29,Yes,Yes,Yes,Yes,Fruit
2055,APPLES PINK LADY/CRIPPS PINK,10/18/2019,1.49,Yes,Yes,Yes,Yes,Fruit
2054,APPLES JONAGOLD,10/18/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2053,APPLES HONEYCRISP,10/18/2019,2.71,Yes,Yes,Yes,Yes,Fruit
1536,PEACHES VARIOUS YELLOW FLESH VARIETIES,10/18/2019,0.99,No,Yes,No,No,Fruit
1009,ORANGES NAVEL,10/18/2019,1.41,No,No,No,Yes,Fruit
2044,APPLES HONEYCRISP,10/18/2019,1.84,Yes,Yes,Yes,Yes,Fruit
2046,APPLES GRANNY SMITH,10/18/2019,0.95,Yes,Yes,Yes,Yes,Fruit
2047,APPLES GOLDEN DELICIOUS,10/18/2019,2.29,Yes,Yes,Yes,Yes,Fruit
2048,APPLES GOLDEN DELICIOUS,10/18/2019,1.99,Yes,Yes,Yes,Yes,Fruit
2049,APPLES GALA,10/18/2019,1.11,Yes,Yes,Yes,Yes,Fruit
2050,APPLES GALA,10/18/2019,1.27,Yes,Yes,Yes,Yes,Fruit
1008,ORANGES VALENCIA,10/18/2019,0.69,No,No,No,Yes,Fruit
1251,GRAPES WHITE SEEDLESS TYPE,10/18/2019,2.55,No,No,Yes,No,Fruit
1252,GRAPES WHITE SEEDLESS TYPE,10/18/2019,1.87,No,No,Yes,No,Fruit
1253,GRAPES RED SEEDLESS,10/18/2019,2.55,No,No,Yes,No,Fruit
1257,GRAPES RED SEEDLESS,10/18/2019,1.74,No,No,Yes,No,Fruit
1256,GRAPES BLACK SEEDLESS,10/18/2019,1.98,No,No,Yes,No,Fruit
109,BEETS  ,10/18/2019,0.5,No,Yes,Yes,Yes,Vegetable
1255,GRAPES BLACK SEEDLESS,10/18/2019,2.99,No,No,Yes,No,Fruit
2051,APPLES FUJI,10/18/2019,1.46,Yes,Yes,Yes,Yes,Fruit
2052,APPLES FUJI,10/18/2019,1.33,Yes,Yes,Yes,Yes,Fruit
2056,APPLES RED DELICIOUS,10/18/2019,2.29,Yes,Yes,Yes,Yes,Fruit
1254,GRAPES RED GLOBE,10/18/2019,1.29,No,No,Yes,No,Fruit
152,BROCCOLI  ,10/18/2019,0.99,Yes,No,Yes,No,Vegetable
153,BROCCOLI CROWN CUT,10/18/2019,1.53,Yes,No,Yes,No,Vegetable
2571,BANANAS  ,10/18/2019,0.4,Yes,Yes,Yes,Yes,Fruit
